iter	RMSE
210	3.261594366
211	3.260307679
212	3.258639968
213	3.257828304
214	3.255217718
215	3.254054873
216	3.248564287
217	3.244132191
218	3.24298131
219	3.240137942
220	3.23897623
221	3.237634245
222	3.236113013
223	3.233674477
224	3.227160318
225	3.224990505
226	3.223526009
227	3.220557726
228	3.219358295
229	3.213196425
230	3.208893425
231	3.205790774
232	3.204674911
233	3.203312333
234	3.199780677
235	3.198369328
236	3.192835233
237	3.188233719
238	3.187315515
239	3.186123337
240	3.184893864
241	3.182857208
242	3.180515113
243	3.176761986
244	3.174783906
245	3.172663366
246	3.171836873
247	3.170787566
248	3.169416987
249	3.16161967
250	3.160626884
251	3.158491146
252	3.157636011
253	3.152965739
254	3.150703054
255	3.147557237
256	3.140890328
257	3.139568806
258	3.136847492
259	3.136012957
260	3.134949606
261	3.132237986
262	3.131384698
263	3.12995609
264	3.128867247
265	3.127984108
266	3.12699677
267	3.124251368
268	3.122594312
269	3.121900801
270	3.119330725
271	3.116795377
272	3.115927808
273	3.114967645
274	3.113962104
275	3.113229443
276	3.111777339
277	3.109428304
278	3.108488816
279	3.107171046
280	3.105971775
281	3.105184234
282	3.104354603
283	3.103413971
284	3.102028923
285	3.097845537
286	3.097065825
287	3.094391246
288	3.093560979
289	3.092663338
290	3.089203423
291	3.088250946
292	3.084735479
293	3.084022831
294	3.083018153
295	3.082267358
296	3.07927382
297	3.077330244
298	3.076517276
299	3.075617029
300	3.072311459
301	3.071628862
302	3.070863367
303	3.070161524
304	3.069267593
305	3.068738239
306	3.066202135
307	3.063851236
308	3.063139137
309	3.062219571
310	3.061403791
311	3.060945253
312	3.060233565
313	3.059682532
314	3.057265492
315	3.054483793
316	3.05371222
317	3.051037733
318	3.050273812
319	3.047189377
320	3.046810004
321	3.044236318
322	3.043787216
323	3.041870819
324	3.041307307
325	3.040497337
326	3.039745342
327	3.03930745
328	3.035982197
329	3.035110042
330	3.034401926
331	3.033919404
332	3.033439984
333	3.032724256
334	3.031768838
335	3.029774846
336	3.02909791
337	3.028496795
338	3.026265033
339	3.02583685
340	3.025103661
341	3.024383119
342	3.023931309
343	3.0222481
344	3.021847549
345	3.021421342
346	3.018472242
347	3.017866089
348	3.01610296
349	3.015445721
350	3.013990397
351	3.013547261
352	3.011791957
353	3.009750639
354	3.009296111
355	3.008962675
356	3.008323671
357	3.00719376
358	3.006823356
359	3.005359766
360	3.004769728
361	3.002860147
362	3.001263794
363	3.000706417
364	3.000192706
365	2.998795191
366	2.998482432
367	2.996359012
368	2.994804971
369	2.994365955
370	2.99373129
371	2.993361129
372	2.992753923
373	2.992478235
374	2.991353427
375	2.990890306
376	2.990517292
377	2.989781246
378	2.987777442
379	2.987318161
380	2.985499664
381	2.985095604
382	2.984062147
383	2.983692043
384	2.982836644
385	2.982398943
386	2.982036917
387	2.981254734
388	2.98007451
389	2.978728929
390	2.977007426
391	2.976593816
392	2.97619739
393	2.975278458
394	2.974975811
395	2.973899799
396	2.973416262
397	2.972410613
398	2.972073276
399	2.971677234
400	2.971200711
401	2.97090924
402	2.970610667
403	2.970249579
404	2.969505974
405	2.96917282
406	2.968491701
407	2.968008763
408	2.967703037
409	2.967229459
410	2.96692236
411	2.966568357
412	2.966140853
413	2.965495033
414	2.965155585
415	2.964811021
416	2.964392574
417	2.963814323
418	2.963520269
419	2.962596077
420	2.962064403
421	2.960743275
422	2.960454675
423	2.959232074
424	2.958843634
425	2.958491031
426	2.958173118
427	2.957648349
428	2.955562723
429	2.955347721
430	2.955077122
431	2.954604916
432	2.953467354
433	2.95318046
434	2.952558404
435	2.952241733
436	2.950580159
437	2.949009089
438	2.948630497
439	2.948081328
440	2.947583936
441	2.946498875
442	2.946177053
443	2.945930162
444	2.945723059
445	2.944804326
446	2.944383265
447	2.944076716
448	2.943119527
